data_point,u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque,profile_id
1,-0.450681507587433,18.8051719665527,19.086669921875,-0.35005459189415,18.2932186126709,0.002865567803383,0.004419136792421,0.000328102178173,24.5542144775391,18.3165473937988,19.8506908416748,0.187100797891617,17
2,-0.325736999511719,18.8185710906982,19.0923900604248,-0.305803000926971,18.294807434082,0.000256781670032,0.000605872366577,-0.000785352662206,24.5380783081055,18.3149547576904,19.8506717681885,0.24541749060154,17
3,-0.440864026546478,18.8287696838379,19.0893802642822,-0.372502624988556,18.2940940856934,0.002354971366003,0.001289587118663,0.000386468193028,24.5446929931641,18.3263072967529,19.8506565093994,0.176615342497826,17
4,-0.327025681734085,18.8355674743652,19.0830307006836,-0.316198706626892,18.2925415039063,0.00610466580838,2.55843260674737E-05,0.002045660978183,24.5540180206299,18.3308334350586,19.8506469726562,0.238302707672119,17
5,-0.471150130033493,18.8570327758789,19.0825252532959,-0.33227214217186,18.2914276123047,0.003132822923362,-0.064316779375076,0.037183776497841,24.5653972625732,18.3266620635986,19.8506393432617,0.20819665491581,17
6,-0.538972616195679,18.9015483856201,19.0771083831787,0.009147472679615,18.2906284332275,0.009636123664677,-0.613635241985321,0.336747348308563,24.573600769043,18.3238620758057,19.8506336212158,0.476217836141586,17
7,-0.653148472309112,18.9417114257812,19.0745830535889,0.238889694213867,18.2925243377686,0.001337012392469,-1.00564730167389,0.554211258888245,24.5765781402588,18.3219356536865,19.8506298065186,0.670015335083008,17
8,-0.758391559123993,18.9608612060547,19.082498550415,0.395099252462387,18.2940406799316,0.001421957509592,-1.2883837223053,0.706369996070862,24.5749492645264,18.3146553039551,19.8506278991699,0.75203549861908,17
9,-0.727128446102142,18.9735450744629,19.0855331420898,0.546622514724731,18.2919635772705,0.000576552585699,-1.49053049087524,0.817339479923248,24.5670795440674,18.3069248199463,19.8506259918213,0.910541415214539,17
10,-0.874307453632355,18.9878120422363,19.0760250091553,0.578943967819214,18.2872333526611,-0.001247879583389,-1.63446354866028,0.89801287651062,24.5532417297363,18.3017330169678,19.8506240844727,0.924009799957275,17
11,-0.766983985900879,18.9987010955811,19.0780544281006,0.689281404018402,18.2865028381348,0.001852675224654,-1.73920786380768,0.952029526233673,24.5342292785645,18.3054161071777,19.850622177124,1.03353810310364,17
