,data_point,u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque,profile_id
0,1,-0.45068150758743303,18.8051719665527,19.086669921875,-0.35005459189415,18.2932186126709,0.0028655678033829997,0.004419136792420999,0.000328102178173,24.5542144775391,18.316547393798803,19.8506908416748,0.18710079789161702,17
1,2,-0.325736999511719,18.8185710906982,19.0923900604248,-0.30580300092697105,18.294807434082,0.000256781670032,0.000605872366577,-0.0007853526622060001,24.5380783081055,18.314954757690398,19.8506717681885,0.24541749060154003,17
2,3,-0.440864026546478,18.828769683837898,19.0893802642822,-0.3725026249885561,18.2940940856934,0.0023549713660029996,0.0012895871186630002,0.000386468193028,24.5446929931641,18.326307296752898,19.850656509399396,0.17661534249782604,17
3,4,-0.327025681734085,18.8355674743652,19.0830307006836,-0.316198706626892,18.2925415039063,0.0061046658083800005,2.55843260674737e-05,0.002045660978183,24.554018020629897,18.3308334350586,19.8506469726562,0.238302707672119,17
4,5,-0.471150130033493,18.8570327758789,19.0825252532959,-0.33227214217186,18.291427612304698,0.003132822923362,-0.064316779375076,0.037183776497841,24.5653972625732,18.3266620635986,19.8506393432617,0.20819665491581,17
5,6,-0.5389726161956789,18.9015483856201,19.0771083831787,0.009147472679615,18.2906284332275,0.009636123664676999,-0.613635241985321,0.336747348308563,24.573600769043,18.3238620758057,19.850633621215803,0.476217836141586,17
6,7,-0.653148472309112,18.9417114257812,19.0745830535889,0.238889694213867,18.2925243377686,0.0013370123924689998,-1.00564730167389,0.554211258888245,24.5765781402588,18.3219356536865,19.8506298065186,0.6700153350830079,17
7,8,-0.7583915591239929,18.960861206054698,19.082498550415,0.39509925246238703,18.2940406799316,0.001421957509592,-1.2883837223053,0.7063699960708621,24.5749492645264,18.314655303955103,19.850627899169897,0.7520354986190799,17
8,9,-0.727128446102142,18.973545074462898,19.0855331420898,0.546622514724731,18.2919635772705,0.000576552585699,-1.49053049087524,0.817339479923248,24.567079544067397,18.3069248199463,19.8506259918213,0.910541415214539,17
9,10,-0.8743074536323551,18.987812042236303,19.0760250091553,0.578943967819214,18.2872333526611,-0.0012478795833889998,-1.63446354866028,0.89801287651062,24.5532417297363,18.3017330169678,19.8506240844727,0.9240097999572751,17
10,11,-0.766983985900879,18.9987010955811,19.078054428100604,0.689281404018402,18.2865028381348,0.0018526752246539999,-1.73920786380768,0.952029526233673,24.5342292785645,18.3054161071777,19.850622177124,1.0335381031036401,17
11,12,-0.891274869441986,19.0043029785156,19.0831623077393,0.6804993152618412,18.2892990112305,-0.0041424613446,-1.8121256828308099,0.9954599738121029,24.5189208984375,18.3035926818848,19.8769588470459,1.03178453445435,17
12,13,-0.8437439203262329,18.990060806274396,19.0895748138428,0.732882916927338,18.287063598632802,0.003363267285749,-1.8669898509979201,1.0229306221008299,24.508377075195302,18.312221527099602,19.9029655456543,1.08085441589355,17
13,14,-0.808621644973755,18.965435028076197,19.1019134521484,0.8105266094207759,18.2845306396484,-0.0035653251688929997,-1.90373051166534,1.0455532073974598,24.5016765594482,18.313796997070302,19.851963043212898,1.11540412902832,17
14,15,-0.886074423789978,18.929105758667,19.101842880249,0.7962298393249508,18.284992218017603,-0.000580390216783,-1.93122780323029,1.05921947956085,24.476713180542003,18.3199615478516,19.852228164672898,1.08907926082611,17
15,16,-0.826320052146912,18.8804721832275,19.0967388153076,0.8438896536827091,18.285400390625,0.000280461536022,-1.94955265522003,1.07179296016693,24.459692001342802,18.332565307617198,19.851963043212898,1.15120267868042,17
16,17,-0.945092260837555,18.8395175933838,19.092737197876,0.8010491132736209,18.2853469848633,-0.001451865537092,-1.96553504467011,1.07693982124329,24.4581451416016,18.3305740356445,19.923915863037102,1.0966111421585099,17
17,18,-0.84201717376709,18.807285308837898,19.0923385620117,0.8511807322502141,18.285306930542,-0.00153862091247,-1.97430801391602,1.08458364009857,24.4674186706543,18.3225364685059,19.9031391143799,1.16332280635834,17
18,19,-0.961187124252319,18.779071807861303,19.0918579101562,0.808190762996674,18.2852802276611,-0.0032630928326399995,-1.9814529418945301,1.0883607864379898,24.4780006408691,18.317396163940398,19.888250350952102,1.12182056903839,17
19,20,-0.91281658411026,18.7737312316895,19.0941429138184,0.833553671836853,18.2840270996094,0.000786952732597,-1.98819518089294,1.08774268627167,24.4832935333252,18.3109760284424,19.8775844573975,1.11481130123138,17
20,21,-0.9164708852767941,18.800945281982397,19.102876663208,0.827922523021698,18.284282684326197,-0.0012790844775739999,-1.99088644981384,1.0927542448043799,24.508478164672898,18.3089542388916,19.869939804077102,1.12090516090393,17
21,22,-0.945531785488129,18.835470199585,19.107896804809602,0.811725199222565,18.2842769622803,0.0014467239379879998,-1.9946575164794902,1.09175992012024,24.5309371948242,18.306240081787102,19.8644638061523,1.11026060581207,17
22,23,-0.864643573760986,18.8471145629883,19.1029262542725,0.844667553901672,18.284809112548803,0.0026509019080549995,-1.9950242042541497,1.09599697589874,24.538719177246104,18.3022079467773,19.860540390014602,1.17217373847961,17
23,24,-0.974432528018951,18.856868743896502,19.099063873290998,0.8031708598136899,18.285888671875,0.000162570097018,-1.99770259857178,1.0933825969696,24.5302562713623,18.3011684417725,19.8577270507813,1.11577534675598,17
24,25,-0.42177414894104,18.8852500915527,19.098102569580103,0.6659095287323,18.2885112762451,4.78829336166382,-2.0997200012207,2.06277394294739,24.523567199707,18.300851821899396,19.855712890625,0.638446748256683,17
25,26,5.69266605377197,18.9361248016357,19.0902004241943,-1.20516037940979,18.292667388915998,117.777488708496,-3.1912145614624,11.2967281341553,24.525579452514602,18.3039779663086,19.85426902771,2.6897075176239,17
26,27,16.2764854431152,18.9676494598389,19.0824928283691,-6.80525636672974,18.2932567596436,333.672149658203,-6.21300411224365,26.6705055236816,24.487628936767603,18.3212585449219,19.853235244751,10.8585624694824,17
27,28,30.2929306030273,18.9746532440186,19.082378387451197,-14.666522979736301,18.291940689086896,630.395324707031,-8.841184616088869,39.179130554199205,24.462026596069304,18.330457687377898,19.852493286132802,18.124547958374,17
28,29,46.8207817077637,18.9849262237549,19.0890045166016,-23.7470874786377,18.2891464233398,984.875854492188,-10.724750518798801,48.1426124572754,24.440998077392603,18.3231163024902,19.851963043212898,23.2641658782959,17
29,30,65.26157379150389,18.9944953918457,19.077804565429698,-33.433425903320305,18.2861003875732,1380.68493652344,-11.984372138977099,54.394992828369105,24.4357395172119,18.3170375823975,19.851581573486303,26.644554138183604,17
30,31,84.1160659790039,18.9946117401123,19.0585308074951,-36.3999176025391,18.2839183807373,1806.12451171875,-13.859474182128901,51.2822418212891,24.430776596069304,18.3141498565674,19.8513088226318,23.393009185791,17
31,32,91.3332748413086,18.9948139190674,19.0493412017822,-46.9629898071289,18.280504226684602,2252.7548828125,-32.1719818115234,54.01887512207029,24.3654708862305,18.312969207763697,19.8511142730713,26.7597541809082,17
32,33,94.83026123046871,18.9759368896484,19.052419662475604,-56.5373764038086,18.2770156860352,2714.52392578125,-52.633472442627,55.1797866821289,24.285898208618196,18.3159008026123,19.8509750366211,29.104347229003896,17
33,34,95.68653106689449,18.941106796264602,19.081937789917,-65.28024291992189,18.2763652801514,3187.17358398437,-73.00691986083991,55.3083267211914,24.2647361755371,18.314189910888697,19.8508739471436,30.668809890747102,17
34,35,94.4420928955078,18.910120010376,19.0802917480469,-72.8537521362305,18.2775592803955,3662.76733398437,-92.45965576171871,54.716335296630895,24.372970581054698,18.3079833984375,19.8508014678955,32.5695648193359,17
35,36,93.5652236938477,18.8745155334473,19.0531787872314,-78.1606216430664,18.2855491638184,4041.96704101563,-107.046577453613,54.1311454772949,24.4583206176758,18.318531036377,19.850749969482397,37.01316452026371,17
36,37,92.9879531860352,18.8469734191895,19.0638866424561,-82.0872268676758,18.3222427368164,4313.6005859375,-117.414024353027,53.784885406494105,24.388488769531197,18.335130691528303,19.8507137298584,40.2869529724121,17
37,38,92.5469131469727,18.823898315429698,19.151784896850604,-84.78216552734379,18.352115631103498,4508.1884765625,-124.772254943848,53.489444732665994,24.4050559997559,18.355045318603498,19.8506870269775,42.57666015625,17
38,39,92.4038543701172,18.7988014221191,19.2687892913818,-86.7397842407227,18.3545761108398,4647.59716796875,-130.01950073242202,53.2980575561524,24.351060867309602,18.3682842254639,19.8506679534912,44.24040222167971,17
39,40,92.2059097290039,18.7858810424805,19.3284664154053,-88.09082794189449,18.364187240600604,4747.486328125,-133.854202270508,53.1298828125,24.3199195861816,18.3771057128906,19.8506546020508,45.470333099365206,17
40,41,92.0967330932617,18.7939987182617,19.365837097168,-89.07040405273442,18.3547458648682,4819.05224609375,-136.546630859375,53.017860412597706,24.3726787567139,18.4039421081543,19.8506450653076,46.2697868347168,17
41,42,92.01148223876949,18.818294525146502,19.4084453582764,-89.8760223388672,18.3396224975586,4870.3310546875,-138.456192016602,52.977725982665994,24.456853866577102,18.428401947021502,19.850637435913104,46.891506195068395,17
